strain	accession	type	subtype	year	database
A/Annecy/2013/2009	EPI_ISL_68855	A	H1N1	2009	GISAID
A/Arizona/14/1978	EPI_ISL_6855	A	H1N1	1978	GISAID
A/Bangkok/1544/2004	EPI_ISL_21808	A	H1N1	2004	GISAID
A/Bayern/7/1995	EPI_ISL_2663	A	H1N1	1995	GISAID
A/Beijing/262/1995	EPI_ISL_2656	A	H1N1	1995	GISAID
A/Berlin/59/2008	EPI_ISL_65494	A	H1N1	2008	GISAID
A/Brazil/11/1978	CY020293	A	H1N1	1978	IRD
A/Brisbane/59/2007	CY030232	A	H1N1	2007	IRD
A/California/45/1978	EPI_ISL_8078	A	H1N1	1978	GISAID
A/Chile/1/1983	CY121261	A	H1N1	1983	IRD
A/Dakar/88/2003	EPI_ISL_100343	A	H1N1	2003	GISAID
A/Denmark/22/2005	EPI_ISL_15603	A	H1N1	2005	GISAID
A/Denmark/3/2005	EPI_ISL_15929	A	H1N1	2005	GISAID
A/Denmark/56/2003	EU097960	A	H1N2	2003	IRD
A/Denmark/86/2003	EU097959	A	H1N2	2003	IRD
A/Egypt/10/2007	EPI_ISL_106505	A	H1N1	2007	GISAID
A/Egypt/136/2005	EPI_ISL_100332	A	H1N1	2005	GISAID
A/Egypt/96/2002	EPI_ISL_100349	A	H1N1	2002	GISAID
A/England/2/2002	AJ457911	A	H1N2	2002	IRD
A/England/333/1980	X00031	A	H1N1	1980	IRD
A/Finland/4/2007	EPI_ISL_18611	A	H1N1	2007	GISAID
A/Florida/4/2004	EPI_ISL_6292	A	H1N1	2004	GISAID
A/Fukushima/141/2006	EPI_ISL_20402	A	H1N1	2006	GISAID
A/Ghana/152/2008	EPI_ISL_65438	A	H1N1	2008	GISAID
A/Ghana/163/2008	EPI_ISL_65439	A	H1N1	2008	GISAID
A/Ghana/2/2008	EPI_ISL_65444	A	H1N1	2008	GISAID
A/Ghana/9/2008	EPI_ISL_65445	A	H1N1	2008	GISAID
A/Ghana/FS-09-718/2009	EPI_ISL_60087	A	H1N1	2009	GISAID
A/Ghana/FS-09-791/2009	EPI_ISL_60086	A	H1N1	2009	GISAID
A/Gyeonggibuk/4500/2008	EPI_ISL_65491	A	H1N1	2008	GISAID
A/HongKong/1252/2000	EPI_ISL_100361	A	H1N1	2000	GISAID
A/HongKong/18106/2009	EPI_ISL_65516	A	H1N1	2009	GISAID
A/HongKong/1856/2008	EPI_ISL_60838	A	H1N1	2008	GISAID
A/HongKong/1870/2008	CY121648	A	H1N1	2008	IRD
A/HongKong/1988/2009	EPI_ISL_60080	A	H1N1	2009	GISAID
A/HongKong/2387/2007	EPI_ISL_20749	A	H1N1	2007	GISAID
A/HongKong/2613/2007	EPI_ISL_20750	A	H1N1	2007	GISAID
A/HongKong/2652/2006	EPI_ISL_18806	A	H1N1	2006	GISAID
A/HongKong/3176/2008	EPI_ISL_65481	A	H1N1	2008	GISAID
A/HongKong/33597/2009	EPI_ISL_68854	A	H1N1	2009	GISAID
A/HongKong/34079/2009	EPI_ISL_68856	A	H1N1	2009	GISAID
A/HongKong/35/2006	EPI_ISL_22021	A	H1N1	2006	GISAID
A/HongKong/4580/2004	EPI_ISL_22027	A	H1N1	2004	GISAID
A/HongKong/4596/2004	EPI_ISL_22030	A	H1N1	2004	GISAID
A/HongKong/4922/2005	EPI_ISL_22040	A	H1N1	2005	GISAID
A/HongKong/948/2006	EPI_ISL_13560	A	H1N1	2006	GISAID
A/Hungary/2/2003	EPI_ISL_100339	A	H1N1	2003	GISAID
A/Iceland/123/2003	EPI_ISL_100344	A	H1N1	2003	GISAID
A/Iceland/8064/2009	EPI_ISL_65512	A	H1N1	2009	GISAID
A/Iceland/8599/2009	EPI_ISL_65514	A	H1N1	2009	GISAID
A/Incheon/2647/2007	EPI_ISL_20502	A	H1N1	2007	GISAID
A/Incheon/4532/2008	EPI_ISL_65492	A	H1N1	2008	GISAID
A/India/6263/1980	EPI_ISL_6902	A	H1N1	1980	GISAID
A/Johannesburg/141/2007	EPI_ISL_20671	A	H1N1	2007	GISAID
A/Johannesburg/28/2005	EPI_ISL_11476	A	H1N1	2005	GISAID
A/Johannesburg/452/2005	EPI_ISL_100328	A	H1N1	2005	GISAID
A/Johannesburg/5/2002	EPI_ISL_100347	A	H1N1	2002	GISAID
A/Johannesburg/67/2007	EPI_ISL_18817	A	H1N1	2007	GISAID
A/Johannesburg/82/1996	AJ457906	A	H1N1	1996	IRD
A/Lackland/3/1978	EPI_ISL_6869	A	H1N1	1978	GISAID
A/Lackland/7/1978	EPI_ISL_6870	A	H1N1	1978	GISAID
A/Latvia/686/2002	AJ457861	A	H1N2	2002	IRD
A/Madagascar/2121/2007	EPI_ISL_18660	A	H1N1	2007	GISAID
A/Madagascar/57794/2000	AJ457893	A	H1N1	2000	IRD
A/Madagascar/6054/2009	EPI_ISL_68858	A	H1N1	2009	GISAID
A/Madagascar/6081/2009	EPI_ISL_68859	A	H1N1	2009	GISAID
A/Marrakech/510/2009	EPI_ISL_65490	A	H1N1	2008	GISAID
A/Marseille/1148/2009	EPI_ISL_60089	A	H1N1	2009	GISAID
A/Mauritius/403/2008	EPI_ISL_65437	A	H1N1	2008	GISAID
A/Mauritius/543/2007	EPI_ISL_100326	A	H1N1	2007	GISAID
A/Menya/1386/2009	EPI_ISL_60090	A	H1N1	2009	GISAID
A/Minsk/179/2008	EPI_ISL_65425	A	H1N1	2008	GISAID
A/Montpellier/2051/2009	EPI_ISL_68857	A	H1N1	2009	GISAID
A/Morocco/275/2004	EPI_ISL_100338	A	H1N1	2003	GISAID
A/Moscow/2/2009	EPI_ISL_60083	A	H1N1	2009	GISAID
A/Netherlands/128/2004	EPI_ISL_100335	A	H1N1	2004	GISAID
A/Netherlands/345/2007	EPI_ISL_60837	A	H1N1	2007	GISAID
A/NewCaledonia/20/1999	CY031336	A	H1N1	1999	IRD
A/Paraguay/61/2009	EPI_ISL_34734	A	H1N1	2009	GISAID
A/Paris/577/2007	EPI_ISL_22843	A	H1N1	2007	GISAID
A/Paris/781/2008	EPI_ISL_65485	A	H1N1	2008	GISAID
A/Pennsylvania/1/2007	EPI_ISL_13657	A	H1N1	2007	GISAID
